iata_code,location
UZR,"Urzhar Airport, Urzhar, Kazakhstan"
REW,"Rewa Airport, Chorhata, REWA, Rewa, India"
DIU,"Diu Airport, Diu, India"
AMD,"Sardar Vallabhbhai Patel International Airport, Ahmedabad, India"
AKD,"Akola Airport, Akola, India"
IXU,"Aurangabad Airport, Aurangabad, India"
BOM,"Chhatrapati Shivaji International Airport, Mumbai, India"
PAB,"Bilaspur Airport, Bilaspur, India"
BHJ,"Bhuj Airport, Bhuj, India"
IXG,"Belgaum Airport, Belgaum, India"
BDQ,"Vadodara Airport, Vadodara, India"
BHO,"Raja Bhoj International Airport, Bhopal, India"
BHU,"Bhavnagar Airport, Bhavnagar, India"
NMB,"Daman Airport, India"
GUX,"Guna Airport, India"
GOI,"Dabolim Airport, Vasco da Gama, India"
HBX,"Hubli Airport, Hubli, India"
IDR,"Devi Ahilyabai Holkar Airport, Indore, India"
JLR,"Jabalpur Airport, India"
JGA,"Jamnagar Airport, Jamnagar, India"
IXY,"Kandla Airport, Kandla, India"
HJR,"Khajuraho Airport, Khajuraho, India"
KLH,"Kolhapur Airport, India"
IXK,"Keshod Airport, India"
NDC,"Nanded Airport, Nanded, India"
NAG,"Dr. Babasaheb Ambedkar International Airport, Naqpur, India"
ISK,"Nashik Airport, Nasik, India"
PNQ,"Pune Airport, Pune, India"
PBD,"Porbandar Airport, Porbandar, India"
RTC,"Ratnagiri Airport, India"
RAJ,"Rajkot Airport, Rajkot, India"
RPR,"Raipur Airport, Raipur, India"
SAG,"Shirdi Airport, Shirdi, India"
SSE,"Solapur Airport, Solapur, India"
STV,"Surat Airport, India"
UDR,"Maharana Pratap Airport, Udaipur, India"
CMB,"Bandaranaike International Colombo Airport, Colombo, Sri Lanka"
ACJ,"Anuradhapura Air Force Base, Anuradhapura, Sri Lanka"
BTC,"Batticaloa Airport, Batticaloa, Sri Lanka"
RML,"Colombo Ratmalana Airport, Colombo, Sri Lanka"
ADP,"Ampara Airport, Ampara, Sri Lanka"
HIM,"Hingurakgoda Air Force Base, Polonnaruwa Town, Sri Lanka"
JAF,"Kankesanturai Airport, Jaffna, Sri Lanka"
KCT,"Koggala Airport, Galle, Sri Lanka"
KTY,"Katukurunda Air Force Base, Kalutara, Sri Lanka"
GIU,"Sigiriya Air Force Base, Sigiriya, Sri Lanka"
TRR,"China Bay Airport, Trincomalee, Sri Lanka"
WRZ,"Weerawila Airport, Weerawila, Sri Lanka"
HRI,"Mattala Rajapaksa International Airport, Sri Lanka"
BBM,"Battambang Airport, Battambang, Cambodia"
KZC,"Kampong Chhnang Airport, Kampong Chhnang, Cambodia"
KKZ,"Kaoh Kong Airport, Kaoh Kong, Cambodia"
KTI,"Kratie Airport, Kratie, Cambodia"
MWV,"Mondulkiri Airport, Sen Monorom, Cambodia"
PNH,"Phnom Penh International Airport, Phnom Penh, Cambodia"
RBE,"Ratanakiri Airport, Ratanakiri, Cambodia"
REP,"Siem Reap International Airport, Siem Reap, Cambodia"
TNX,"Stung Treng Airport, Stung Treng, Cambodia"
KOS,"Sihanoukville International Airport, Sihanukville, Cambodia"
KZD,"Krakor Airport, Krakor, Cambodia"
ELX,"Isla de Tigre  Heliport, Isla de Tigre, Venezuela"
LGY,"Lagunillas Airport, Lagunillas, Venezuela"
ZRZ,"Zaraza Airport, Zaraza, Venezuela"
KTV,"Kamarata Airport, Kamarata, Venezuela"
LAG,"La Guaira Airport, La Guaira, Venezuela"
SFX,"Macagua Airport, Ciudad Guayana, Venezuela"
SVV,"San Salvador de Paul Airport, San Salvador de Paul, Venezuela"
WOK,"Wonken Airport, Wonken, Venezuela"
IXV,"Along Airport, India"
IXA,"Agartala Airport, Agartala, India"
IXB,"Bagdogra Airport, Siliguri, India"
RGH,"Balurghat Airport, Balurghat, India"
SHL,"Shillong Airport, Shillong, India"
BBI,"Biju Patnaik Airport, Bhubaneswar, India"
CCU,"Netaji Subhash Chandra Bose International Airport, Kolkata, India"
COH,"Cooch Behar Airport, India"
DBD,"Dhanbad Airport, India"
RDP,"Kazi Nazrul Islam Airport, Durgapur, India"
DEP,"Daporijo Airport, Daporijo, India"
GOP,"Gorakhpur Airport, Gorakhpur, India"
GAU,"Lokpriya Gopinath Bordoloi International Airport, Guwahati, India"
GAY,"Gaya Airport, India"
IMF,"Imphal Airport, Imphal, India"
PYB,"Jeypore Airport, Jeypore, India"
IXW,"Sonari Airport, Jamshedpur, India"
JRH,"Jorhat Airport, Jorhat, India"
IXQ,"Kamalpur Airport, India"
IXH,"Kailashahar Airport, India"
IXS,"Silchar Airport, Silchar, India"
IXN,"Khowai Airport, Khowai, India"
AJL,"Lengpui Airport, Aizawl, India"
IXI,"North Lakhimpur Airport, Lilabari, India"
LDA,"Malda Airport, Malda, India"
DIB,"Dibrugarh Airport, Dibrugarh, India"
DMU,"Dimapur Airport, Dimapur, India"
MZU,"Muzaffarpur Airport, India"
IXT,"Pasighat Airport, Pasighat, India"
PAT,"Lok Nayak Jayaprakash Airport, Patna, India"
IXR,"Birsa Munda Airport, Ranchi, India"
RRK,"Rourkela Airport, India"
RUP,"Rupsi India Airport, India"
TEZ,"Tezpur Airport, India"
VTZ,"Vishakhapatnam Airport, Visakhapatnam, India"
ZER,"Ziro Airport, Ziro, India"
BZL,"Barisal Airport, Barisal, Bangladesh"
CXB,"Cox's Bazar Airport, Cox's Bazar, Bangladesh"
CLA,"Comilla Airport, Comilla, Bangladesh"
CGP,"Shah Amanat International Airport, Chittagong, Bangladesh"
IRD,"Ishurdi Airport, Ishurdi, Bangladesh"
JSR,"Jessore Airport, Jashahor, Bangladesh"
LLJ,"Lalmonirhat Airport, Lalmonirhat, Bangladesh"
RJH,"Shah Mokhdum Airport, Rajshahi, Bangladesh"
SPD,"Saidpur Airport, Saidpur, Bangladesh"
TKR,"Thakurgaon Airport, Thakurgaon, Bangladesh"
ZHM,"Shamshernagar Airport, Shamshernagar, Bangladesh"
ZYL,"Osmany International Airport, Sylhet, Bangladesh"
DAC,"Hazrat Shahjalal International Airport, Dhaka, Bangladesh"
HKG,"Hong Kong International Airport, Hong Kong, Hong Kong SAR China"
HHP,"Shun Tak Heliport, Hong Kong, Hong Kong SAR China"
SPB,"Charlotte Amalie Harbor Seaplane Base, Charlotte Amalie St Thomas, U.S. Virgin Islands"
SSB,"Christiansted Harbor Seaplane Base, Christiansted St Croix, U.S. Virgin Islands"
AGR,"Agra Airport, India"
IXD,"Allahabad Airport, Allahabad, India"
ATQ,"Sri Guru Ram Dass Jee International Airport, Amritsar, India"
AIP,"Adampur Airport, Adampur, India"
BKB,"Nal Airport, Bikaner, India"
VNS,"Lal Bahadur Shastri Airport, Varanasi, India"
KUU,"Kullu Manali Airport, India"
BUP,"Bhatinda Air Force Station, India"
BEK,"Bareilly Air Force Station, Bareilly, India"
IXC,"Chandigarh Airport, Chandigarh, India"
KNU,"Kanpur Airport, Kanpur, India"
DED,"Dehradun Airport, Dehradun, India"
DEL,"Indira Gandhi International Airport, New Delhi, India"
DHM,"Kangra Airport, India"
GWL,"Gwalior Airport, Gwalior, India"
HSS,"Hissar Airport, India"
JDH,"Jodhpur Airport, Jodhpur, India"
JAI,"Jaipur International Airport, Jaipur, India"
JSA,"Jaisalmer Airport, India"
IXJ,"Jammu Airport, Jammu, India"
KQH,"Kishangarh Airport, Ajmer, India"
KTU,"Kota Airport, Kota, India"
LUH,"Ludhiana Airport, India"
IXL,"Leh Kushok Bakula Rimpochee Airport, Leh, India"
LKO,"Chaudhary Charan Singh International Airport, Lucknow, India"
IXP,"Pathankot Airport, Pathankot, India"
PGH,"Pantnagar Airport, Pantnagar, India"
SLV,"Shimla Airport, India"
SXR,"Sheikh ul Alam Airport, Srinagar, India"
TNI,"Satna Airport, India"
VIV,"Vivigani Airfield, Vivigani, Papua New Guinea"
VJQ,"Gurue Airport, Gurue, Mozambique"
AOU,"Attopeu Airport, Attopeu, Laos"
HOE,"Ban Huoeisay Airport, Huay Xai, Laos"
LPQ,"Luang Phabang International Airport, Luang Phabang, Laos"
LXG,"Luang Namtha Airport, Luang Namtha, Laos"
ODY,"Oudomsay Airport, Oudomsay, Laos"
PKZ,"Pakse International Airport, Pakse, Laos"
ZBY,"Sayaboury Airport, Sainyabuli, Laos"
ZVK,"Savannakhet Airport, Laos"
NEU,"Sam Neua Airport, Laos"
VNA,"Saravane Airport, Saravane, Laos"
THK,"Thakhek Airport, Thakhek, Laos"
VTE,"Wattay International Airport, Vientiane, Laos"
XKH,"Xieng Khouang Airport, Xieng Khouang, Laos"
XIE,"Xienglom Airport, Xienglom, Laos"
VMI,"Dr Juan Plate Airport, Puerto Vallemi, Paraguay"
MFM,"Macau International Airport, Macau, Macao SAR China"
VDH,"Dong Hoi Airport, Dong Hoi, Vietnam"
KON,"Kontum Airport, Kontum, Vietnam"
BJH,"Bajhang Airport, Bajhang, Nepal"
BHP,"Bhojpur Airport, Bhojpur, Nepal"
BGL,"Baglung Airport, Baglung, Nepal"
BHR,"Bharatpur Airport, Bharatpur, Nepal"
BJU,"Bajura Airport, Bajura, Nepal"
BIT,"Baitadi Airport, Baitadi, Nepal"
BWA,"Gautam Buddha Airport, Bhairawa, Nepal"
BDP,"Bhadrapur Airport, Bhadrapur, Nepal"
DNP,"Tulsipur Airport, Dang, Nepal"
DHI,"Dhangarhi Airport, Dhangarhi, Nepal"
DAP,"Darchula Airport, Darchula, Nepal"
DOP,"Dolpa Airport, Dolpa, Nepal"
SIH,"Silgadi Doti Airport, Silgadi Doti, Nepal"
GKH,"Palungtar Airport, Gorkha, Nepal"
JIR,"Jiri Airport, Jiri, Nepal"
JUM,"Jumla Airport, Jumla, Nepal"
JKR,"Janakpur Airport, Janakpur, Nepal"
JMO,"Jomsom Airport, Jomsom, Nepal"
KTM,"Tribhuvan International Airport, Kathmandu, Nepal"
LDN,"Lamidanda Airport, Lamidanda, Nepal"
LUA,"Lukla Airport, Lukla, Nepal"
LTG,"Langtang Airport, Langtang, Nepal"
NGX,"Manang Airport, Ngawal, Nepal"
MEY,"Meghauli Airport, Meghauli, Nepal"
XMG,"Mahendranagar Airport, Mahendranagar, Nepal"
KEP,"Nepalgunj Airport, Nepalgunj, Nepal"
PKR,"Pokhara Airport, Pokhara, Nepal"
PPL,"Phaplu Airport, Phaplu, Nepal"
RJB,"Rajbiraj Airport, Rajbiraj, Nepal"
RHP,"Ramechhap Airport, Ramechhap, Nepal"
RUK,"Rukum Chaurjahari Airport, Rukumkot, Nepal"
RPA,"Rolpa Airport, Rolpa, Nepal"
RUM,"Rumjatar Airport, Rumjatar, Nepal"
SYH,"Syangboche Airport, Namche Bazaar, Nepal"
SIF,"Simara Airport, Simara, Nepal"
SKH,"Surkhet Airport, Surkhet, Nepal"
FEB,"Sanfebagar Airport, Sanfebagar, Nepal"
IMK,"Simikot Airport, Simikot, Nepal"
TPJ,"Taplejung Airport, Taplejung, Nepal"
TPU,"Tikapur Airport, Tikapur, Nepal"
TMI,"Tumling Tar Airport, Tumling Tar, Nepal"
BIR,"Biratnagar Airport, Biratnagar, Nepal"
LTU,"Murod Kond Airport, Latur, India"
TCR,"Tuticorin Airport, Thoothukudi, India"
AGX,"Agatti Airport, India"
BEP,"Bellary Airport, Bellary, India"
BLR,"Kempegowda International Airport, Bangalore, India"
VGA,"Vijayawada Airport, India"
CJB,"Coimbatore International Airport, Coimbatore, India"
COK,"Cochin International Airport, Kochi, India"
CCJ,"Calicut International Airport, Calicut, India"
CDP,"Kadapa Airport, Kadapa, India"
CBD,"Car Nicobar Air Force Station, India"
HYD,"Rajiv Gandhi International Airport, Hyderabad, India"
BPM,"Begumpet Airport, Hyderabad, India"
CNN,"Kannur International Airport, Kannur, India"
IXM,"Madurai Airport, Madurai, India"
IXE,"Mangalore International Airport, Mangalore, India"
MAA,"Chennai International Airport, Chennai, India"
MYQ,"Mysore Airport, Mysore, India"
IXZ,"Vir Savarkar International Airport, Port Blair, India"
PNY,"Pondicherry Airport, Pondicherry, India"
PUT,"Sri Sathya Sai Airport, Puttaparthi, India"
RMD,"Basanth Nagar Airport, Ramagundam, India"
RJA,"Rajahmundry Airport, Rajahmundry, India"
SXV,"Salem Airport, Salem, India"
TJV,"Tanjore Air Force Base, Thanjavur, India"
TIR,"Tirupati Airport, Tirupati, India"
TRZ,"Tiruchirapally Civil Airport Airport, Tiruchirappally, India"
TRV,"Trivandrum International Airport, Thiruvananthapuram, India"
WGC,"Warangal Airport, Warangal, India"
YON,"Yongphulla Airport, Tashigang, Bhutan"
BUT,"Bathpalathang Airport, Jakar, Bhutan"
GLU,"Gelephu Airport, Gelephu, Bhutan"
PBH,"Paro Airport, Paro, Bhutan"
IFU,"Ifuru Airport, Ifuru Island, Maldives"
DRV,"Dharavandhoo Airport, Baa Atoll, Maldives"
FVM,"Fuvahmulah Airport, Fuvahmulah Island, Maldives"
GAN,"Gan International Airport, Gan, Maldives"
HAQ,"Hanimaadhoo Airport, Haa Dhaalu Atoll, Maldives"
KDO,"Kadhdhoo Airport, Kadhdhoo, Maldives"
MLE,"Malé International Airport, Malé, Maldives"
GKK,"Kooddoo Airport, Huvadhu Atoll, Maldives"
KDM,"Kaadedhdhoo Airport, Huvadhu Atoll, Maldives"
DDD,"Dhaalu Atoll Airport, Kudahuvadhoo, Maldives"
VAM,"Villa Airport, Maamigili, Maldives"
TMF,"Thimarafushi Airport, Thimarafushi, Maldives"
DMK,"Don Mueang International Airport, Bangkok, Thailand"
KKM,"Sa Pran Nak Airport, Thailand"
KDT,"Kamphaeng Saen Airport, Nakhon Pathom, Thailand"
TDX,"Trat Airport, Thailand"
BKK,"Suvarnabhumi Airport, Bangkok, Thailand"
UTP,"U-Tapao International Airport, Rayong, Thailand"
CNX,"Chiang Mai International Airport, Chiang Mai, Thailand"
HGN,"Mae Hong Son Airport, Thailand"
PYY,"Mae Hong Son Airport, Mae Hong Son, Thailand"
LPT,"Lampang Airport, Thailand"
NNT,"Nan Airport, Thailand"
PRH,"Phrae Airport, Thailand"
CEI,"Chiang Rai International Airport, Chiang Rai, Thailand"
BAO,"Udorn Air Base, Ban Mak Khaen, Thailand"
PHY,"Phetchabun Airport, Thailand"
HHQ,"Hua Hin Airport, Hua Hin, Thailand"
TKH,"Takhli Airport, Thailand"
MAQ,"Mae Sot Airport, Thailand"
THS,"Sukhothai Airport, Thailand"
PHS,"Phitsanulok Airport, Thailand"
TKT,"Tak Airport, Thailand"
UTR,"Uttaradit Airport, Uttaradit, Thailand"
URT,"Surat Thani Airport, Surat Thani, Thailand"
NAW,"Narathiwat Airport, Thailand"
CJM,"Chumphon Airport, Thailand"
NST,"Nakhon Si Thammarat Airport, Nakhon Si Thammarat, Thailand"
KBV,"Krabi Airport, Krabi, Thailand"
SGZ,"Songkhla Airport, Thailand"
PAN,"Pattani Airport, Thailand"
USM,"Samui Airport, Na Thon (Ko Samui Island), Thailand"
HKT,"Phuket International Airport, Phuket, Thailand"
UNN,"Ranong Airport, Thailand"
HDY,"Hat Yai International Airport, Hat Yai, Thailand"
TST,"Trang Airport, Thailand"
UTH,"Udon Thani Airport, Udon Thani, Thailand"
SNO,"Sakon Nakhon Airport, Thailand"
PXR,"Surin Airport, Surin, Thailand"
KKC,"Khon Kaen Airport, Khon Kaen, Thailand"
LOE,"Loei Airport, Thailand"
BFV,"Buri Ram Airport, Thailand"
NAK,"Nakhon Ratchasima Airport, Thailand"
UBP,"Ubon Ratchathani Airport, Ubon Ratchathani, Thailand"
ROI,"Roi Et Airport, Thailand"
KOP,"Nakhon Phanom Airport, Thailand"
VUU,"Mvuu Camp Airport, Liwonde National Park, Malawi"
BMV,"Buon Ma Thuot Airport, Buon Ma Thuot, Vietnam"
VCL,"Chu Lai International Airport, Dung Quat Bay, Vietnam"
HPH,"Cat Bi International Airport, Haiphong, Vietnam"
CAH,"Cà Mau Airport, Ca Mau City, Vietnam"
CXR,"Cam Ranh Airport, Nha Trang, Vietnam"
VCS,"Co Ong Airport, Con Dao, Vietnam"
VCA,"Can Tho International Airport, Can Tho, Vietnam"
DIN,"Dien Bien Phu Airport, Dien Bien Phu, Vietnam"
DLI,"Lien Khuong Airport, Da Lat, Vietnam"
DAD,"Da Nang International Airport, Da Nang, Vietnam"
VVN,"Las Malvinas/Echarate Airport, Las Malvinas, Peru"
HAN,"Noi Bai International Airport, Hanoi, Vietnam"
SQH,"Na-San Airport, Son-La, Vietnam"
HUI,"Phu Bai Airport, Hue, Vietnam"
UIH,"Phu Cat Airport, Quy Nohn, Vietnam"
PXU,"Pleiku Airport, Pleiku, Vietnam"
PQC,"Phu Quoc International Airport, Phu Quoc Island, Vietnam"
PHA,"Phan Rang Airport, Phan Rang, Vietnam"
PHH,"Phan Thiet Airport, Phan Thiet, Vietnam"
VKG,"Rach Gia Airport, Rach Gia, Vietnam"
TBB,"Dong Tac Airport, Tuy Hoa, Vietnam"
SGN,"Tan Son Nhat International Airport, Ho Chi Minh City, Vietnam"
THD,"Tho Xuan Airport, Thanh Hóa, Vietnam"
VII,"Vinh Airport, Vinh, Vietnam"
VTG,"Vung Tau Airport, Vung Tau, Vietnam"
VBA,"Ann Airport, Aeng, Myanmar (Burma)"
NYU,"Bagan Airport, Nyaung U, Myanmar (Burma)"
BMO,"Banmaw Airport, Banmaw, Myanmar (Burma)"
VBP,"Bokpyinn Airport, Bokpyinn, Myanmar (Burma)"
TVY,"Dawei Airport, Dawei, Myanmar (Burma)"
NYT,"Naypyidaw Airport, Pyinmana, Myanmar (Burma)"
GAW,"Gangaw Airport, Gangaw, Myanmar (Burma)"
GWA,"Gwa Airport, Gwa, Myanmar (Burma)"
HEH,"Heho Airport, Heho, Myanmar (Burma)"
HOX,"Hommalinn Airport, Hommalinn, Myanmar (Burma)"
TIO,"Tilin Airport, Tilin, Myanmar (Burma)"
KET,"Kengtung Airport, Kengtung, Myanmar (Burma)"
KHM,"Kanti Airport, Kanti, Myanmar (Burma)"
KMV,"Kalay Airport, Kalemyo, Myanmar (Burma)"
KYP,"Kyaukpyu Airport, Kyaukpyu, Myanmar (Burma)"
KAW,"Kawthoung Airport, Kawthoung, Myanmar (Burma)"
KYT,"Kyauktu Airport, Kyauktu, Myanmar (Burma)"
LIW,"Loikaw Airport, Loikaw, Myanmar (Burma)"
LSH,"Lashio Airport, Lashio, Myanmar (Burma)"
MDL,"Mandalay International Airport, Mandalay, Myanmar (Burma)"
MGZ,"Myeik Airport, Mkeik, Myanmar (Burma)"
MYT,"Myitkyina Airport, Myitkyina, Myanmar (Burma)"
MNU,"Mawlamyine Airport, Mawlamyine, Myanmar (Burma)"
MGU,"Manaung Airport, Manaung, Myanmar (Burma)"
MOE,"Momeik Airport, Myanmar (Burma)"
MOG,"Mong Hsat Airport, Mong Hsat, Myanmar (Burma)"
MGK,"Mong Tong Airport, Mong Tong, Myanmar (Burma)"
MWQ,"Magway Airport, Magway, Myanmar (Burma)"
NYW,"Monywar Airport, Monywar, Myanmar (Burma)"
NMS,"Namsang Airport, Namsang, Myanmar (Burma)"
NMT,"Namtu Airport, Namtu, Myanmar (Burma)"
PAA,"Hpa-N Airport, Hpa-N, Myanmar (Burma)"
PAU,"Pauk Airport, Pauk, Myanmar (Burma)"
BSX,"Pathein Airport, Pathein, Myanmar (Burma)"
PPU,"Hpapun Airport, Pa Pun, Myanmar (Burma)"
PBU,"Putao Airport, Putao, Myanmar (Burma)"
PKK,"Pakhokku Airport, Pakhokku, Myanmar (Burma)"
PRU,"Pyay Airport, Pye, Myanmar (Burma)"
AKY,"Sittwe Airport, Sittwe, Myanmar (Burma)"
SNW,"Thandwe Airport, Thandwe, Myanmar (Burma)"
THL,"Tachileik Airport, Tachileik, Myanmar (Burma)"
XYE,"Ye Airport, Ye, Myanmar (Burma)"
RGN,"Yangon International Airport, Yangon, Myanmar (Burma)"
FBS,"Friday Harbor Seaplane Base, Friday Harbor, United States"
RSJ,"Rosario Seaplane Base, Rosario, United States"
LKE,"Kenmore Air Harbor Seaplane Base, Seattle, United States"
RCE,"Roche Harbor Airport, Roche Harbor, United States"
TQQ,"Maranggo Airport, Waha-Tomea Island, Indonesia"
WSX,"Westsound/Wsx Seaplane Base, Westsound, United States"
UPG,"Hasanuddin International Airport, Ujung Pandang-Celebes Island, Indonesia"
MJU,"Tampa Padang Airport, Mamuju-Celebes Island, Indonesia"
BIK,"Frans Kaisiepo Airport, Biak-Supiori Island, Indonesia"
ONI,"Moanamani Airport, Moanamani-Papua Island, Indonesia"
WET,"Wagethe Airport, Wagethe-Papua Island, Indonesia"
NBX,"Nabire Airport, Nabire-Papua Island, Indonesia"
ILA,"Illaga Airport, Illaga-Papua Island, Indonesia"
KOX,"Kokonau Airport, Kokonau-Papua Island, Indonesia"
ZRI,"Serui Airport, Serui-Japen Island, Indonesia"
TIM,"Moses Kilangin Airport, Timika-Papua Island, Indonesia"
EWI,"Enarotali Airport, Enarotali-Papua Island, Indonesia"
WAD,"Andriamena Airport, Andriamena, Madagascar"
AMI,"Selaparang Airport, Mataram-Lombok Island, Indonesia"
BMU,"Muhammad Salahuddin Airport, Bima-Sumbawa Island, Indonesia"
DPS,"Ngurah Rai (Bali) International Airport, Denpasar-Bali Island, Indonesia"
LOP,"Lombok International Airport, Mataram, Indonesia"
SWQ,"Sumbawa Besar Airport, Sumbawa Island, Indonesia"
TMC,"Tambolaka Airport, Waikabubak-Sumba Island, Indonesia"
WGP,"Umbu Mehang Kunda Airport, Waingapu-Sumba Island, Indonesia"
ARJ,"Arso Airport, Arso-Papua Island, Indonesia"
BUI,"Bokondini Airport, Bokondini, Indonesia"
ZRM,"Sarmi Airport, Sarmi-Papua Island, Indonesia"
DJJ,"Sentani International Airport, Jayapura-Papua Island, Indonesia"
LHI,"Lereh Airport, Lereh-Papua Island, Indonesia"
LII,"Mulia Airport, Mulia-Papua Island, Indonesia"
OKL,"Oksibil Airport, Oksibil-Papua Island, Indonesia"
WAR,"Waris Airport, Swach, Indonesia"
SEH,"Senggeh Airport, Senggeh, Indonesia"
UBR,"Ubrub Airport, Ubrub-Papua Island, Indonesia"
WMX,"Wamena Airport, Wamena-Papua Island, Indonesia"
MDP,"Mindiptana Airport, Mindiptana-Papua Island, Indonesia"
BXD,"Bade Airport, Bade, Indonesia"
MKQ,"Mopah Airport, Merauke-Papua Island, Indonesia"
OKQ,"Okaba Airport, Okaba-Papua Island, Indonesia"
KEI,"Kepi Airport, Kepi-Papua Island, Indonesia"
TMH,"Tanah Merah Airport, Tanah Merah-Papua Island, Indonesia"
TJS,"Tanjung Harapan Airport, Tanjung Selor-Borneo Island, Indonesia"
DTD,"Datadawai Airport, Datadawai-Borneo Island, Indonesia"
BEJ,"Kalimarau Airport, Tanjung Redeb - Borneo Island, Indonesia"
BPN,"Sultan Aji Muhamad Sulaiman Airport, Kotamadya Balikpapan, Indonesia"
TRK,"Juwata Airport, Tarakan Island, Indonesia"
SRI,"Temindung Airport, Samarinda, Indonesia"
TSX,"Tanjung Santan Airport, Santan-Borneo Island, Indonesia"
BYQ,"Bunyu Airport, Bunju Island, Indonesia"
GLX,"Gamarmalamo Airport, Galela-Celebes Island, Indonesia"
GTO,"Jalaluddin Airport, Gorontalo-Celebes Island, Indonesia"
NAH,"Naha Airport, Tahuna-Sangihe Island, Indonesia"
TLI,"Sultan Bantilan Airport, Toli Toli-Celebes Island, Indonesia"
GEB,"Gebe Airport, Gebe Island, Indonesia"
KAZ,"Kao Airport, Kao-Celebes Island, Indonesia"
PLW,"Mutiara Airport, Palu-Celebes Island, Indonesia"
MDC,"Sam Ratulangi Airport, Manado-Celebes Island, Indonesia"
MNA,"Melangguane Airport, Karakelong Island, Indonesia"
PSJ,"Kasiguncu Airport, Poso-Celebes Island, Indonesia"
OTI,"Pitu Airport, Gotalalamo-Morotai Island, Indonesia"
TTE,"Sultan Khairun Babullah Airport, Sango-Ternate Island, Indonesia"
LUW,"Syukuran Aminuddin Amir Airport, Luwok - Celebes Island, Indonesia"
UOL,"Buol Airport, Buol-Celebes Island, Indonesia"
WAN,"Waverney Airport, Waverney, Australia"
BTW,"Batu Licin Airport, Batu Licin-Borneo Island, Indonesia"
PKN,"Iskandar Airport, Pangkalanbun-Borneo Island, Indonesia"
KBU,"Gusti Syamsir Alam Airport, Stagen - Laut Island, Indonesia"
TJG,"Warukin Airport, Tanta-Tabalong-Borneo Island, Indonesia"
BDJ,"Syamsudin Noor Airport, Banjarmasin-Borneo Island, Indonesia"
PKY,"Tjilik Riwut Airport, Palangkaraya-Kalimantan Tengah, Indonesia"
SMQ,"Sampit(Hasan) Airport, Sampit-Borneo Island, Indonesia"
AHI,"Amahai Airport, Amahai-Seram Island, Indonesia"
NDA,"Bandanaira Airport, Banda-Naira Island, Indonesia"
DOB,"Rar Gwamar Airport, Dobo-Warmar Island, Indonesia"
MAL,"Mangole Airport, Falabisahaya, Mangole Island, Indonesia"
NRE,"Namrole Airport, Namrole-Buru Island, Indonesia"
LAH,"Oesman Sadik Airport, Labuha, Labuha-Halmahera Island, Indonesia"
SXK,"Saumlaki/Olilit Airport, Saumlaki-Yamdena Island, Indonesia"
BJK,"Nangasuri Airport, Maikoor Island, Indonesia"
LUV,"Dumatumbun Airport, Langgur-Seram Island, Indonesia"
SQN,"Emalamo Sanana Airport, Sanana-Seram Island, Indonesia"
AMQ,"Pattimura Airport, Ambon, Ambon, Indonesia"
NAM,"Namlea Airport, Namlea-Buru Island, Indonesia"
TAX,"Taliabu Island Airport, Tikong-Taliabu Island, Indonesia"
WBA,"Wahai,Seram Island, Seram Island, Indonesia"
MLG,"Abdul Rachman Saleh Airport, Malang-Java Island, Indonesia"
CPF,"Ngloram Airport, Tjepu-Java Island, Indonesia"
JOG,"Adi Sutjipto International Airport, Yogyakarta-Java Island, Indonesia"
SOC,"Adi Sumarmo Wiryokusumo Airport, Sukarata(Solo)-Java Island, Indonesia"
SUB,"Juanda International Airport, Surabaya, Indonesia"
SRG,"Achmad Yani Airport, Semarang-Java Island, Indonesia"
SUP,"Trunojoyo Airport, Sumenep-Madura Island, Indonesia"
KWB,"Dewadaru - Kemujan Island, Karimunjawa, Indonesia"
NTI,"Stenkol Airport, Bintuni, Indonesia"
RSK,"Abresso Airport, Ransiki-Papua Island, Indonesia"
KEQ,"Kebar Airport, Kebar-Papua Island, Indonesia"
FKQ,"Fakfak Airport, Fakfak-Papua Island, Indonesia"
INX,"Inanwatan Airport, Inanwatan Airport-Papua Island, Indonesia"
KNG,"Kaimana Airport, Kaimana-Papua Island, Indonesia"
RDE,"Merdei Airport, Merdei-Papua Island, Indonesia"
BXB,"Babo Airport, Babo-Papua Island, Indonesia"
MKW,"Rendani Airport, Manokwari-Papua Island, Indonesia"
TXM,"Teminabuan Airport, Atinjoe-Papua Island, Indonesia"
WSR,"Wasior Airport, Wasior-Papua Island, Indonesia"
BJW,"Bajawa Soa Airport, Bajawa, Indonesia"
MOF,"Maumere(Wai Oti) Airport, Maumere-Flores Island, Indonesia"
ENE,"Ende (H Hasan Aroeboesman) Airport, Ende-Flores Island, Indonesia"
RTG,"Frans Sales Lega Airport, Satar Tacik-Flores Island, Indonesia"
ARD,"Mali Airport, Alor Island, Indonesia"
LBJ,"Komodo Airport, Labuan Bajo - Flores Island, Indonesia"
KOE,"El Tari Airport, Kupang-Timor Island, Indonesia"
BUW,"Betoambari Airport, Bau Bau-Butung Island, Indonesia"
MXB,"Andi Jemma Airport, Masamba-Celebes Island, Indonesia"
SQR,"Soroako Airport, Soroako-Celebes Island, Indonesia"
TTR,"Pongtiku Airport, Makale, Indonesia"
KDI,"Wolter Monginsidi Airport, Kendari-Celebes Island, Indonesia"
SOQ,"Dominique Edward Osok Airport, Sorong-Papua Island, Indonesia"
WBB,"Stebbins Airport, Stebbins, United States"
